Customer ID,Product ID,Category,Sub-Category,Product Name
CG-12520,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
CG-12520,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
DV-13045,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
SO-20335,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
SO-20335,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
BH-11710,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
BH-11710,OFF-AR-10002833,Office Supplies,Art,Newell 322
BH-11710,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
BH-11710,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
BH-11710,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
BH-11710,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
BH-11710,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black
AA-10480,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
IM-15070,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
HP-14815,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
HP-14815,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
PK-19075,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
AG-10270,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer
ZD-21925,OFF-AR-10003056,Office Supplies,Art,Newell 341
ZD-21925,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone
ZD-21925,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""
KB-16585,OFF-AR-10000246,Office Supplies,Art,Newell 318
KB-16585,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
SF-20065,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
EB-13870,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
EH-13945,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders
EH-13945,TEC-AC-10003027,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive
TB-21520,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
TB-21520,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
TB-21520,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
TB-21520,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
TB-21520,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
TB-21520,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
TB-21520,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons
MA-17560,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper
GH-14485,TEC-PH-10004977,Technology,Phones,GE 30524EE4
GH-14485,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
SN-20710,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
SN-20710,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
SN-20710,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
SN-20710,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter
LC-16930,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
RA-19885,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
ES-14080,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
ON-18715,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
ON-18715,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
PO-18865,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
LH-16900,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive
LH-16900,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
DP-13000,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
DP-13000,OFF-LA-10002762,Office Supplies,Labels,Avery 485
DP-13000,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
DP-13000,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
JM-15265,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
JM-15265,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone
TB-21055,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
TB-21055,OFF-PA-10001569,Office Supplies,Paper,Xerox 232
